dataset,method,status,n_windows,n_clusters,noise_pct,silhouette,cluster_mean,cluster_min,cluster_max,t_dist_s,t_algo_s,t_s,ri_vs_ap_full,ari_vs_ap_full
short_comparison_test,hdbscan,ok,1195,23,20.59,0.0984,41.3,16,115,4.48,0.01,6.8,0.8663,0.3287
short_comparison_test,ap_full,ok,1195,7,0.0,0.1807,170.7,75,273,0.13,0.6,0.78,,
short_comparison_test,ap_sampled,ok,1195,7,0.0,0.1807,170.7,75,273,,,0.73,1.0,1.0
comparison_test,hdbscan,ok,13799,3,0.36,0.5001,4583.3,54,13546,13.01,0.17,13.19,0.0648,0.002
comparison_test,ap_full,ok,13799,36,0.0,0.1608,383.3,72,747,17.73,120.4,138.16,,
comparison_test,ap_sampled,ok,13799,22,0.0,0.1766,627.2,106,1395,3.61,22.63,26.26,0.9451,0.3919
control_mouse_1_jul,hdbscan,ok,23902,2,4.87,0.2307,11369.5,146,22593,16.74,1.32,18.08,,
control_mouse_1_jul,ap_full,skipped,23902,,,,,,,,,,,
control_mouse_1_jul,ap_sampled,ok,23902,18,0.0,0.159,1327.9,158,2227,3.56,24.24,27.83,,
control_mouse_1_oct,hdbscan,ok,23906,4,0.0,0.4626,5976.5,108,23485,16.5,0.28,16.81,,
control_mouse_1_oct,ap_full,skipped,23906,,,,,,,,,,,
control_mouse_1_oct,ap_sampled,ok,23906,23,0.0,0.1853,1039.4,168,2749,3.53,23.54,27.1,,
mp_mouse_1_jul,hdbscan,ok,19714,11,1.49,0.3261,1765.5,91,17449,13.3,0.23,13.55,0.2205,0.0116
mp_mouse_1_jul,ap_full,ok,19714,40,0.0,0.1966,492.9,167,1066,38.75,354.19,392.96,,
mp_mouse_1_jul,ap_sampled,ok,19714,18,0.0,0.2237,1095.2,282,2129,4.13,21.99,26.15,0.937,0.36
mp_mouse_1_oct,hdbscan,ok,23866,8,1.13,0.0748,2949.5,101,21580,16.01,1.38,17.43,,
mp_mouse_1_oct,ap_full,skipped,23866,,,,,,,,,,,
mp_mouse_1_oct,ap_sampled,ok,23866,22,0.0,0.2226,1084.8,157,2144,3.59,15.91,19.53,,
moving_test,hdbscan,ok,47028,42,2.68,0.0452,1089.7,154,32711,32.96,0.5,33.51,,
moving_test,ap_full,skipped,47028,,,,,,,,,,,
moving_test,ap_sampled,ok,47028,22,0.0,0.2845,2137.6,454,4999,3.55,22.63,26.23,,
still_test,hdbscan,ok,23877,2,1.53,0.5169,11756.0,128,23384,15.96,0.28,16.27,,
still_test,ap_full,skipped,23877,,,,,,,,,,,
still_test,ap_sampled,ok,23877,19,0.0,0.1894,1256.7,138,2051,3.54,16.73,20.29,,
