dataset,method,seed,K,ari_vs_ap_full,t_s
comparison_test,ap_sampled,1,28,0.4294157336702782,22.88
comparison_test,ap_sampled,2,27,0.4544674754703507,23.85
comparison_test,ap_sampled,3,31,0.5830931504694005,24.38
comparison_test,ap_sampled,4,28,0.47055966236296554,22.3
comparison_test,ap_sampled,5,28,0.4602058814983205,24.37
comparison_test,ap_sampled,6,29,0.41526022032315957,21.8
comparison_test,ap_sampled,7,30,0.4949021214123732,34.14
comparison_test,ap_sampled,8,30,0.4809401719986822,23.59
comparison_test,ap_sampled,9,31,0.505642767733018,21.03
comparison_test,ap_sampled,10,29,0.5254091607900497,18.48
comparison_test,ap_coreset,1,31,0.40390046820237313,21.6
comparison_test,ap_coreset,2,31,0.4822522220131061,20.67
comparison_test,ap_coreset,3,31,0.472833488263087,20.17
comparison_test,ap_coreset,4,30,0.45589700908995945,24.83
comparison_test,ap_coreset,5,27,0.4438035212633727,24.56
comparison_test,ap_coreset,6,31,0.458837564846675,31.53
comparison_test,ap_coreset,7,31,0.4514021574307086,19.92
comparison_test,ap_coreset,8,30,0.4281740385632909,21.7
comparison_test,ap_coreset,9,30,0.4445723285277243,33.61
comparison_test,ap_coreset,10,30,0.43584839976162837,32.38
comparison_test,ap_kmeans,1,28,0.441260857242491,32.76
comparison_test,ap_kmeans,2,27,0.5049910992894099,44.32
comparison_test,ap_kmeans,3,28,0.4142037522548077,34.5
comparison_test,ap_kmeans,4,28,0.47591256629134865,41.29
comparison_test,ap_kmeans,5,30,0.49929873308321726,37.53
comparison_test,ap_kmeans,6,28,0.40976311776404784,53.75
comparison_test,ap_kmeans,7,29,0.5519964959852546,32.43
comparison_test,ap_kmeans,8,30,0.48971994844425193,32.08
comparison_test,ap_kmeans,9,28,0.5148503843976638,34.17
comparison_test,ap_kmeans,10,25,0.4452752368133324,37.98
comparison_test,ap_stratified,1,32,0.4068364541252633,24.85
comparison_test,ap_stratified,2,30,0.4487207998025349,24.96
comparison_test,ap_stratified,3,33,0.5055429784959743,26.02
comparison_test,ap_stratified,4,31,0.4529103537368922,19.82
comparison_test,ap_stratified,5,34,0.400631407299534,17.23
comparison_test,ap_stratified,6,31,0.3788720412052166,28.2
comparison_test,ap_stratified,7,33,0.43556080241209405,19.07
comparison_test,ap_stratified,8,31,0.5108961056388697,16.44
comparison_test,ap_stratified,9,32,0.45136024139838776,21.6
comparison_test,ap_stratified,10,33,0.4371608233767651,19.27
