dataset,method,K,n_windows,mean_run,median_run,max_run,mean_dur_s,pct_single
short_comparison_test,ap_coreset,9,1195,1.3,1.0,7,0.391,76.6
short_comparison_test,ap_full,9,1195,1.3,1.0,7,0.391,76.6
short_comparison_test,ap_kmeans,9,1195,1.3,1.0,7,0.391,76.6
short_comparison_test,ap_sampled,9,1195,1.3,1.0,7,0.391,76.6
short_comparison_test,ap_sparse,19,1195,1.19,1.0,7,0.357,85.1
short_comparison_test,ap_stratified,9,1195,1.3,1.0,7,0.391,76.6
short_comparison_test,ap_twolevel,11,1195,1.3,1.0,7,0.391,78.6
short_comparison_test,hdbscan,3,1195,30.64,3.0,255,9.192,41.0
comparison_test,ap_coreset,30,13799,1.34,1.0,110,0.401,78.9
comparison_test,ap_full,33,13799,1.33,1.0,110,0.4,79.6
comparison_test,ap_kmeans,29,13799,1.35,1.0,110,0.405,78.1
comparison_test,ap_sampled,30,13799,1.36,1.0,110,0.408,77.6
comparison_test,ap_sparse,75,13799,1.21,1.0,110,0.362,86.4
comparison_test,ap_stratified,34,13799,1.34,1.0,110,0.402,78.7
comparison_test,ap_twolevel,33,13799,1.41,1.0,110,0.423,75.6
comparison_test,hdbscan,8,13799,9.55,2.0,225,2.865,44.2
mp_mouse_1_jul,ap_coreset,32,19714,1.67,1.0,402,0.501,72.2
mp_mouse_1_jul,ap_full,41,19714,1.47,1.0,271,0.442,77.1
mp_mouse_1_jul,ap_kmeans,27,19714,1.64,1.0,390,0.493,72.5
mp_mouse_1_jul,ap_sampled,28,19714,1.64,1.0,271,0.493,72.8
mp_mouse_1_jul,ap_sparse,108,19714,1.28,1.0,271,0.383,85.1
mp_mouse_1_jul,ap_stratified,33,19714,1.61,1.0,271,0.484,73.0
mp_mouse_1_jul,ap_twolevel,38,19714,1.58,1.0,271,0.474,72.8
mp_mouse_1_jul,hdbscan,83,19714,2.38,1.0,56,0.713,56.7
mp_mouse_1_oct,ap_coreset,34,23866,1.68,1.0,205,0.503,70.3
mp_mouse_1_oct,ap_kmeans,31,23866,1.74,1.0,205,0.521,69.6
mp_mouse_1_oct,ap_sampled,30,23866,1.69,1.0,205,0.507,70.7
mp_mouse_1_oct,ap_sparse,145,23866,1.28,1.0,48,0.384,82.2
mp_mouse_1_oct,ap_stratified,38,23866,1.66,1.0,205,0.499,71.1
mp_mouse_1_oct,ap_twolevel,33,23866,1.7,1.0,205,0.51,68.6
mp_mouse_1_oct,hdbscan,208,23866,2.25,1.0,60,0.674,68.8
control_mouse_1_jul,ap_coreset,34,23902,1.26,1.0,30,0.377,81.7
control_mouse_1_jul,ap_kmeans,29,23902,1.25,1.0,24,0.374,82.5
control_mouse_1_jul,ap_sampled,30,23902,1.25,1.0,23,0.374,83.1
control_mouse_1_jul,ap_sparse,134,23902,1.1,1.0,20,0.329,92.3
control_mouse_1_jul,ap_stratified,35,23902,1.25,1.0,23,0.374,82.1
control_mouse_1_jul,ap_twolevel,48,23902,1.2,1.0,22,0.359,85.2
control_mouse_1_jul,hdbscan,4,23902,68.49,2.0,1744,20.546,47.0
control_mouse_1_oct,ap_coreset,32,23906,1.39,1.0,56,0.416,77.4
control_mouse_1_oct,ap_kmeans,28,23906,1.41,1.0,47,0.422,76.3
control_mouse_1_oct,ap_sampled,29,23906,1.36,1.0,57,0.409,78.3
control_mouse_1_oct,ap_sparse,142,23906,1.15,1.0,34,0.344,90.8
control_mouse_1_oct,ap_stratified,36,23906,1.37,1.0,48,0.412,77.7
control_mouse_1_oct,ap_twolevel,46,23906,1.29,1.0,57,0.387,82.4
control_mouse_1_oct,hdbscan,18,23906,3.85,2.0,68,1.154,47.0
